Step,AgentID,Theta,ChosenEp,ChosenEs,Payoff,RunId,iteration,nu,theta_L,theta_H,delta_W,safety_bonus,performance_bonus,developer_class,developer_params,contract_type,correlation_k,DisasterOccurred,SocialWelfare
0,1,1.0,0.060929872554081534,2.6828190801274854,39.23963910986585,0,0,0.5,1.0,2.0,1000.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,optimal,0.0,False,-39.23963910986585
0,1,2.0,0.09210316405272234,3.199704080549104,39.23685259241391,1,1,0.5,1.0,2.0,1000.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,optimal,0.0,False,-39.23685259241391
0,1,1.0,0.060929872554081534,2.6828190801274854,39.30439792367612,2,2,0.5,1.0,2.0,1000.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,optimal,0.0,False,-39.30439792367612
0,1,1.0,0.060929872554081534,2.6828190801274854,39.23963910986585,3,3,0.5,1.0,2.0,1000.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,optimal,0.0,False,-39.23963910986585
0,1,2.0,0.09210316405272234,3.199704080549104,39.23685259241391,4,4,0.5,1.0,2.0,1000.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,optimal,0.0,False,-39.23685259241391
0,1,1.0,0.060929872554081534,2.6828190801274854,39.23963910986585,5,5,0.5,1.0,2.0,1000.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,optimal,0.0,False,-39.23963910986585
0,1,1.0,0.060929872554081534,2.6828190801274854,39.23963910986585,6,6,0.5,1.0,2.0,1000.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,optimal,0.0,False,-39.23963910986585
0,1,1.0,0.060929872554081534,2.6828190801274854,0.0,7,7,0.5,1.0,2.0,1000.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,optimal,0.0,True,-1000.0
0,1,1.0,0.060929872554081534,2.6828190801274854,39.23963910986585,8,8,0.5,1.0,2.0,1000.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,optimal,0.0,False,-39.23963910986585
0,1,2.0,0.09210316405272234,3.199704080549104,39.23685259241391,9,9,0.5,1.0,2.0,1000.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,optimal,0.0,False,-39.23685259241391
0,1,1.0,0.060929872554081534,2.6828190801274854,39.23963910986585,10,10,0.5,1.0,2.0,1000.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,optimal,0.0,False,-39.23963910986585
0,1,1.0,0.060929872554081534,2.6828190801274854,39.23963910986585,11,11,0.5,1.0,2.0,1000.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,optimal,0.0,False,-39.23963910986585
0,1,1.0,0.060929872554081534,2.6828190801274854,0.0,12,12,0.5,1.0,2.0,1000.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,optimal,0.0,True,-1000.0
