Step,AgentID,Theta,ChosenEp,ChosenEs,Payoff,RunId,iteration,nu,theta_L,theta_H,delta_W,safety_bonus,performance_bonus,developer_class,developer_params,contract_type,pre_calculated_menu,DisasterOccurred,SocialWelfare,initial_guess
0,1,1.0,0.031153648851221096,1.7215026817984014,9.628237235431385,0,0,0.5,1.0,2.0,100.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,pre_calculated_optimal,,False,-9.628237235431385,
0,1,1.0,0.031153648851221096,1.7215026817984014,0.0,1,1,0.5,1.0,2.0,100.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,pre_calculated_optimal,,True,-100.0,
0,1,1.0,0.031153648851221096,1.7215026817984014,9.628237235431385,2,2,0.5,1.0,2.0,100.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,pre_calculated_optimal,,False,-9.628237235431385,
0,1,1.0,0.031153648851221096,1.7215026817984014,9.628237235431385,3,3,0.5,1.0,2.0,100.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,pre_calculated_optimal,,False,-9.628237235431385,
0,1,2.0,0.047820020027315994,2.1789310042321435,9.627449763966837,4,4,0.5,1.0,2.0,100.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,pre_calculated_optimal,,False,-9.627449763966837,
0,1,1.0,0.031153648851221096,1.7215026817984014,9.628237235431385,5,5,0.5,1.0,2.0,100.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,pre_calculated_optimal,,False,-9.628237235431385,
0,1,2.0,0.047820020027315994,2.1789310042321435,9.627449763966837,6,6,0.5,1.0,2.0,100.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,pre_calculated_optimal,,False,-9.627449763966837,
0,1,1.0,0.031153648851221096,1.7215026817984014,9.628237235431385,7,7,0.5,1.0,2.0,100.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,pre_calculated_optimal,,False,-9.628237235431385,
0,1,2.0,0.047820020027315994,2.1789310042321435,9.627449763966837,8,8,0.5,1.0,2.0,100.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,pre_calculated_optimal,,False,-9.627449763966837,
0,1,1.0,0.031153648851221096,1.7215026817984014,9.628237235431385,9,9,0.5,1.0,2.0,100.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,pre_calculated_optimal,,False,-9.628237235431385,
0,1,1.0,0.031153648851221096,1.7215026817984014,9.628237235431385,10,10,0.5,1.0,2.0,100.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,pre_calculated_optimal,,False,-9.628237235431385,
0,1,1.0,0.031153648851221096,1.7215026817984014,9.628237235431385,11,11,0.5,1.0,2.0,100.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,pre_calculated_optimal,,False,-9.628237235431385,
0,1,2.0,0.047820020027315994,2.1789310042321435,9.627449763966837,12,12,0.5,1.0,2.0,100.0,150.0,75.0,<class 'src.agents.rational.RationalDeveloperAgent'>,,pre_calculated_optimal,,False,-9.627449763966837,
